ID;Edad;Ingresos_Anuales;Historial_Crediticio;Monto_Prestamo_Solicitado;Plazo_Prestamo_Años;Número_Creditos_Previos;Empleo;Tasa_Interes;Decision_Final
320;47; $6.984.631 ;0; $2.442.497 ;3;12;autónomo;2,4%;FALSO
321;60; $17.452.169 ;0; $2.171.606 ;1;10;empleado;8,7%;FALSO
322;30; $8.721.454 ;1; $4.624.314 ;6;7;autónomo;12,9%;VERDADERO
323;55; $18.891.981 ;0; $1.789.757 ;10;12;empleado;8,1%;FALSO
324;54; $15.370.377 ;1; $2.586.515 ;10;12;empleado;8,5%;VERDADERO
325;56; $10.556.528 ;1; $4.285.973 ;6;10;autónomo;13,4%;VERDADERO
326;23; $3.757.506 ;1; $4.786.770 ;4;9;desempleado;7,7%;FALSO
327;43; $20.455.544 ;1; $3.205.066 ;4;9;autónomo;10,5%;VERDADERO
328;48; $16.253.936 ;1; $872.321 ;3;4;autónomo;4,9%;VERDADERO
329;55; $20.391.355 ;0; $4.073.709 ;4;11;autónomo;5,6%;FALSO
330;58; $3.029.514 ;1; $2.146.107 ;8;6;desempleado;13,4%;FALSO
331;49; $3.626.489 ;1; $3.898.020 ;11;11;desempleado;12,8%;FALSO
332;41; $9.424.746 ;0; $1.734.884 ;14;1;autónomo;7,4%;FALSO
333;33; $9.979.798 ;1; $4.719.745 ;2;10;empleado;12,7%;VERDADERO
334;29; $17.628.953 ;0; $1.245.470 ;14;6;autónomo;0,7%;FALSO
335;30; $2.469.934 ;0; $1.614.618 ;10;11;desempleado;5,4%;FALSO
336;39; $4.403.285 ;1; $1.315.229 ;3;6;desempleado;13,2%;FALSO
337;41; $3.824.652 ;1; $4.227.379 ;7;3;desempleado;8,7%;FALSO
338;28; $12.305.500 ;0; $3.287.505 ;2;1;empleado;8,1%;FALSO
339;60; $20.845.812 ;1; $2.292.873 ;13;9;empleado;11,0%;VERDADERO
340;28; $15.059.710 ;0; $4.068.225 ;8;5;autónomo;5,5%;FALSO
341;32; $13.013.615 ;0; $1.291.104 ;6;12;autónomo;6,7%;FALSO
342;55; $3.194.246 ;0; $2.169.392 ;2;2;desempleado;10,0%;FALSO
343;57; $10.645.901 ;1; $1.104.666 ;9;2;empleado;8,8%;VERDADERO
344;42; $4.415.807 ;1; $3.089.564 ;5;12;desempleado;11,4%;FALSO
345;59; $2.700.785 ;1; $4.934.792 ;14;7;desempleado;12,4%;FALSO
346;44; $9.207.221 ;1; $3.601.878 ;3;4;autónomo;1,8%;VERDADERO
347;22; $2.741.267 ;0; $2.040.551 ;14;2;desempleado;2,1%;FALSO
348;38; $4.113.825 ;0; $1.260.368 ;9;7;desempleado;1,5%;FALSO
349;53; $18.217.101 ;1; $1.009.341 ;3;9;empleado;8,6%;VERDADERO
350;33; $14.527.649 ;0; $2.877.557 ;7;10;autónomo;1,8%;FALSO
351;57; $17.615.120 ;1; $1.401.710 ;10;2;autónomo;4,6%;VERDADERO
352;46; $2.620.715 ;0; $1.054.425 ;8;2;desempleado;1,4%;FALSO
353;60; $14.629.002 ;0; $2.370.663 ;11;6;empleado;8,9%;FALSO
354;41; $2.941.967 ;1; $1.539.533 ;8;9;desempleado;1,1%;FALSO
355;53; $14.520.491 ;1; $2.823.523 ;5;10;empleado;5,7%;VERDADERO
356;42; $20.588.400 ;1; $1.949.269 ;15;12;empleado;9,7%;VERDADERO
357;44; $13.846.190 ;0; $1.614.514 ;3;4;empleado;6,1%;FALSO
358;50; $10.046.049 ;0; $4.159.133 ;13;10;autónomo;11,0%;FALSO
359;58; $17.206.783 ;0; $4.659.027 ;4;4;autónomo;8,9%;FALSO
360;32; $17.512.546 ;1; $4.768.681 ;11;9;autónomo;7,9%;VERDADERO
361;31; $20.456.005 ;1; $1.935.699 ;6;6;empleado;8,2%;VERDADERO
362;31; $8.918.954 ;1; $1.091.238 ;7;11;autónomo;12,4%;VERDADERO
363;37; $10.147.744 ;1; $2.614.468 ;4;1;autónomo;0,7%;VERDADERO
364;25; $4.576.928 ;1; $860.145 ;2;9;desempleado;1,8%;FALSO
365;43; $2.618.360 ;1; $3.390.775 ;14;5;desempleado;6,0%;FALSO
366;60; $20.918.887 ;0; $1.207.530 ;2;9;empleado;4,3%;FALSO
367;43; $11.180.288 ;1; $2.969.050 ;9;4;empleado;7,1%;VERDADERO
368;23; $7.337.877 ;0; $3.654.862 ;3;4;autónomo;11,4%;FALSO
369;25; $15.365.808 ;0; $2.916.387 ;2;12;autónomo;1,6%;FALSO
370;43; $2.949.980 ;0; $1.239.069 ;14;10;desempleado;10,7%;FALSO
371;56; $3.395.870 ;0; $4.992.624 ;1;5;desempleado;7,7%;FALSO
372;39; $11.895.455 ;1; $1.286.254 ;9;3;empleado;4,0%;VERDADERO
373;36; $6.881.252 ;1; $3.081.242 ;9;12;empleado;5,4%;VERDADERO
374;56; $15.197.446 ;1; $2.396.213 ;4;8;empleado;10,6%;VERDADERO
375;51; $7.917.404 ;0; $3.466.241 ;4;6;empleado;5,8%;FALSO
376;58; $4.287.235 ;1; $1.270.545 ;2;11;desempleado;8,9%;FALSO
377;37; $14.906.314 ;1; $4.547.583 ;11;1;empleado;2,1%;VERDADERO
378;60; $7.788.395 ;0; $2.773.457 ;8;6;autónomo;5,4%;FALSO
379;55; $20.240.251 ;0; $4.406.881 ;5;5;empleado;11,9%;FALSO
380;33; $2.640.629 ;0; $1.064.676 ;4;4;desempleado;12,0%;FALSO
381;52; $16.605.629 ;1; $3.836.149 ;4;4;autónomo;4,2%;VERDADERO
382;30; $20.030.923 ;1; $4.781.011 ;10;11;empleado;2,5%;VERDADERO
383;25; $11.988.623 ;1; $2.566.668 ;5;10;autónomo;11,3%;VERDADERO
384;39; $16.604.160 ;0; $3.128.429 ;9;5;empleado;0,8%;FALSO
385;21; $2.694.854 ;0; $4.661.401 ;6;5;desempleado;1,8%;FALSO
386;48; $4.625.854 ;1; $3.773.332 ;8;6;desempleado;7,2%;FALSO
387;23; $18.931.268 ;0; $2.843.996 ;1;4;autónomo;12,4%;FALSO
388;32; $2.853.263 ;0; $2.540.243 ;3;5;desempleado;2,4%;FALSO
389;30; $9.729.711 ;1; $2.624.702 ;9;10;autónomo;10,3%;VERDADERO
390;44; $6.017.286 ;1; $2.265.351 ;10;6;autónomo;1,5%;VERDADERO
391;51; $10.899.401 ;1; $4.607.844 ;2;5;empleado;2,2%;VERDADERO
392;35; $20.186.525 ;1; $973.913 ;3;8;autónomo;12,2%;VERDADERO
393;28; $13.583.420 ;0; $1.425.545 ;6;6;autónomo;11,5%;FALSO
394;33; $18.906.401 ;0; $1.972.293 ;14;9;autónomo;11,6%;FALSO
395;48; $3.841.853 ;0; $4.173.026 ;13;8;desempleado;5,7%;FALSO
396;22; $4.130.749 ;1; $3.639.987 ;7;8;desempleado;13,0%;FALSO
397;47; $9.885.112 ;0; $1.850.908 ;5;8;autónomo;7,2%;FALSO
398;27; $10.681.374 ;0; $3.035.354 ;9;10;empleado;13,3%;FALSO
399;38; $16.419.008 ;0; $4.330.647 ;4;8;empleado;4,3%;FALSO
400;58; $3.457.511 ;1; $3.351.236 ;7;9;desempleado;8,6%;FALSO
401;54; $12.851.974 ;0; $2.509.525 ;6;9;empleado;11,2%;FALSO
402;53; $13.017.444 ;0; $1.962.542 ;3;10;empleado;5,4%;FALSO
403;48; $14.922.752 ;1; $1.580.066 ;8;4;autónomo;5,0%;VERDADERO
404;41; $13.003.242 ;0; $4.883.341 ;11;1;autónomo;11,6%;FALSO
405;60; $3.765.968 ;1; $4.363.259 ;15;3;desempleado;12,0%;FALSO
406;52; $4.185.397 ;1; $2.552.015 ;1;7;desempleado;7,6%;FALSO
407;27; $2.520.892 ;1; $1.055.170 ;9;3;desempleado;5,8%;FALSO
408;28; $16.031.636 ;1; $1.490.576 ;9;9;empleado;1,1%;VERDADERO
409;28; $20.640.766 ;0; $4.781.644 ;9;1;empleado;12,1%;FALSO
410;28; $4.620.406 ;0; $4.574.303 ;12;9;desempleado;7,3%;FALSO
411;24; $7.732.778 ;0; $2.730.919 ;4;8;autónomo;1,1%;FALSO
412;55; $11.282.520 ;0; $1.755.832 ;9;12;autónomo;4,6%;FALSO
413;55; $20.472.021 ;0; $1.347.078 ;15;6;autónomo;6,7%;FALSO
414;23; $3.052.079 ;0; $2.510.399 ;8;2;desempleado;4,0%;FALSO
415;24; $4.563.146 ;0; $3.101.741 ;5;6;desempleado;8,5%;FALSO
416;54; $19.874.774 ;1; $2.202.976 ;10;8;empleado;8,4%;VERDADERO
417;35; $4.165.285 ;1; $4.087.771 ;8;7;desempleado;5,0%;FALSO
418;56; $18.173.046 ;0; $2.686.742 ;3;8;autónomo;11,0%;FALSO
419;31; $8.986.327 ;0; $1.828.383 ;15;3;empleado;12,1%;FALSO
420;47; $12.303.593 ;0; $3.929.782 ;13;5;autónomo;6,9%;FALSO
421;23; $18.700.033 ;0; $2.834.885 ;2;8;autónomo;7,7%;FALSO
422;47; $7.241.672 ;0; $3.082.621 ;6;4;autónomo;7,8%;FALSO
423;47; $4.355.910 ;0; $1.238.451 ;1;2;desempleado;1,3%;FALSO
424;45; $4.177.487 ;1; $2.237.163 ;6;12;desempleado;5,1%;FALSO
425;32; $4.075.209 ;1; $4.281.991 ;9;11;desempleado;3,3%;FALSO
426;24; $12.951.953 ;1; $3.991.583 ;4;5;autónomo;9,4%;VERDADERO
427;57; $3.539.035 ;0; $2.878.667 ;10;6;desempleado;5,8%;FALSO
428;47; $14.296.623 ;1; $3.417.700 ;14;8;autónomo;9,2%;VERDADERO
429;36; $17.308.830 ;0; $3.064.033 ;8;7;autónomo;1,0%;FALSO
430;34; $3.581.572 ;0; $954.129 ;2;2;desempleado;3,0%;FALSO
431;25; $16.923.590 ;0; $1.325.965 ;5;6;empleado;4,2%;FALSO
432;38; $6.426.260 ;1; $4.542.607 ;10;2;empleado;12,4%;VERDADERO
433;57; $4.468.506 ;0; $4.321.386 ;4;11;desempleado;11,3%;FALSO
434;52; $20.292.904 ;1; $1.956.743 ;2;3;autónomo;5,1%;VERDADERO
435;35; $9.702.721 ;0; $3.585.648 ;8;6;empleado;2,4%;FALSO
436;24; $12.192.168 ;1; $4.807.341 ;14;4;autónomo;2,8%;VERDADERO
437;39; $20.143.791 ;0; $3.825.060 ;4;8;empleado;1,6%;FALSO
438;25; $2.778.629 ;1; $4.934.967 ;3;4;desempleado;12,2%;FALSO
439;21; $9.816.714 ;1; $2.433.483 ;13;6;empleado;3,6%;VERDADERO
440;35; $4.356.386 ;1; $913.013 ;9;7;desempleado;11,5%;FALSO
441;25; $13.848.702 ;0; $4.911.037 ;15;8;autónomo;12,6%;FALSO
442;27; $15.214.015 ;0; $2.552.914 ;12;11;autónomo;4,8%;FALSO
443;46; $4.441.502 ;1; $1.929.478 ;7;6;desempleado;13,5%;FALSO
444;49; $18.708.719 ;1; $4.281.536 ;8;7;empleado;11,7%;VERDADERO
445;33; $7.613.277 ;1; $3.967.695 ;7;10;empleado;9,6%;VERDADERO
446;25; $2.968.467 ;1; $2.999.159 ;9;5;desempleado;6,9%;FALSO
447;33; $10.641.311 ;1; $3.870.377 ;3;3;empleado;2,1%;VERDADERO
448;45; $4.784.730 ;0; $1.566.641 ;1;7;desempleado;6,3%;FALSO
449;45; $14.163.290 ;0; $2.527.726 ;12;10;autónomo;7,0%;FALSO
450;39; $18.192.526 ;1; $2.954.623 ;6;1;autónomo;7,5%;VERDADERO
451;41; $19.567.768 ;1; $1.030.442 ;12;10;empleado;1,3%;VERDADERO
452;54; $15.384.743 ;1; $3.251.229 ;13;12;autónomo;1,2%;VERDADERO
453;51; $4.319.123 ;1; $2.597.881 ;6;3;desempleado;8,3%;FALSO
454;23; $14.732.682 ;0; $2.786.031 ;9;11;empleado;6,3%;FALSO
455;43; $3.701.052 ;0; $1.844.877 ;14;7;desempleado;5,9%;FALSO
456;22; $10.257.289 ;1; $3.405.217 ;9;6;autónomo;9,5%;VERDADERO
457;43; $20.003.996 ;0; $3.674.373 ;8;10;empleado;5,7%;FALSO
458;29; $17.484.965 ;1; $1.353.019 ;3;11;empleado;1,4%;VERDADERO
459;56; $16.788.303 ;1; $3.330.628 ;11;1;empleado;11,0%;VERDADERO
460;43; $9.921.671 ;0; $2.606.677 ;11;5;empleado;10,4%;FALSO
461;42; $13.193.409 ;0; $1.494.948 ;6;5;empleado;11,7%;FALSO
462;37; $14.473.353 ;0; $4.029.190 ;1;3;autónomo;3,2%;FALSO
463;52; $10.826.705 ;0; $4.752.387 ;5;3;empleado;3,1%;FALSO
464;28; $11.617.468 ;1; $1.436.712 ;13;6;autónomo;9,1%;VERDADERO
465;52; $17.563.918 ;0; $2.740.164 ;13;2;empleado;12,9%;FALSO
466;45; $18.363.204 ;1; $2.147.616 ;7;12;empleado;4,3%;VERDADERO
467;56; $11.518.694 ;0; $834.023 ;7;9;empleado;1,1%;FALSO
468;32; $17.027.825 ;0; $1.835.003 ;7;7;empleado;5,0%;FALSO
469;50; $8.581.699 ;0; $4.151.085 ;15;9;autónomo;1,0%;FALSO
470;57; $3.316.220 ;0; $3.592.439 ;9;7;desempleado;4,4%;FALSO
471;53; $11.952.502 ;0; $916.174 ;15;3;empleado;10,5%;FALSO
472;26; $3.260.565 ;0; $1.660.656 ;9;3;desempleado;5,9%;FALSO
473;45; $2.570.193 ;0; $3.194.850 ;12;2;desempleado;11,5%;FALSO
474;31; $9.889.208 ;1; $4.819.933 ;6;10;empleado;7,5%;VERDADERO
475;60; $2.558.426 ;1; $3.748.791 ;4;4;desempleado;7,6%;FALSO
476;54; $4.545.038 ;0; $2.943.967 ;7;1;desempleado;7,3%;FALSO
477;41; $3.624.388 ;1; $3.766.736 ;5;1;desempleado;6,2%;FALSO
478;59; $19.558.041 ;0; $1.874.520 ;11;5;autónomo;13,2%;FALSO
479;21; $9.182.643 ;1; $1.341.184 ;15;6;empleado;12,0%;VERDADERO
480;40; $3.328.082 ;1; $2.735.019 ;7;11;desempleado;4,9%;FALSO
481;30; $13.034.332 ;1; $995.779 ;2;6;autónomo;11,2%;VERDADERO
482;21; $3.990.535 ;0; $4.354.304 ;10;11;desempleado;11,9%;FALSO
483;48; $6.126.907 ;1; $2.436.219 ;1;9;empleado;2,9%;VERDADERO
484;49; $11.867.138 ;1; $1.928.081 ;13;8;empleado;12,8%;VERDADERO
485;31; $14.899.091 ;1; $2.108.739 ;15;7;autónomo;10,0%;VERDADERO
486;44; $20.758.585 ;1; $837.312 ;5;3;empleado;2,9%;VERDADERO
487;31; $10.133.710 ;0; $2.602.703 ;7;6;autónomo;12,2%;FALSO
488;58; $9.175.851 ;1; $1.092.210 ;11;9;empleado;1,0%;VERDADERO
489;44; $3.841.645 ;1; $4.541.637 ;14;3;desempleado;11,8%;FALSO
490;57; $4.136.183 ;0; $2.669.161 ;1;4;desempleado;4,4%;FALSO
491;28; $11.158.020 ;1; $1.961.881 ;4;12;empleado;3,7%;VERDADERO
492;60; $3.207.300 ;0; $1.030.681 ;13;10;desempleado;8,3%;FALSO
493;42; $7.932.369 ;1; $901.508 ;9;7;autónomo;6,4%;VERDADERO
494;27; $14.992.105 ;0; $4.220.457 ;13;9;autónomo;12,8%;FALSO
495;26; $17.906.791 ;1; $4.120.527 ;6;12;autónomo;1,8%;VERDADERO
496;37; $12.390.036 ;1; $1.626.987 ;1;3;autónomo;8,3%;VERDADERO
497;49; $3.317.303 ;0; $4.343.143 ;12;3;desempleado;11,7%;FALSO
498;27; $10.248.962 ;1; $4.100.235 ;3;12;empleado;12,3%;VERDADERO
499;42; $3.077.737 ;1; $4.941.127 ;13;6;desempleado;2,4%;FALSO
500;21; $20.034.014 ;1; $2.730.159 ;12;10;autónomo;6,1%;VERDADERO
501;56; $12.844.849 ;0; $2.585.336 ;12;11;autónomo;7,5%;FALSO
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
